Review_ID,included_No,Reviewer_ID,EndNote_Index,Pubmed_ID,Year,Article_Name,Review_Date,First_Author,Key_words,Research_Design(Primary Objective),Review/Original,Study_Design_Type,Database/Datasource,Analytic_tool,Country/district ,X,Y,Z,Association_Type,Unit_of_Analysis,Check_List,Mention_Missing_Data,Assessed_Missing_Data,Rate_of_Article,Include_in_Research,Exclusion Reason,Other_Notes,
11,2,,1259,31306445,2019,"An interactive nomogram to predict healthcare-associated infections in ICU patients: A multicenter study in GuiZhou Province, China",12/27/20,"Zhang, M.","Acinetobacter Infections/diagnosis/epidemiology
Acinetobacter baumannii
Adult
Aged
Area Under Curve
Calibration
China/epidemiology
Cross Infection/diagnosis/*epidemiology
Decision Support Techniques
Electronic Health Records
Female
Humans
Inpatients
*Intensive Care Units
Length of Stay
Male
Middle Aged
*Nomograms
ROC Curve
Respiratory Tract Infections/diagnosis/epidemiology
Retrospective Studies
Risk Factors
Seasons",To develop and validate an interactive nomogram to predict healthcare-associated infec- tions (HCAIs) in the intensive care unit (ICU).,Original,retrospective cohort study, Xinglin electronic medical records.,R,China,Patient characteristics,Healthcare-associated  infections,,Association,Patient,No,No,No,,Yes,,,
12,3,,1538,31881945,2019,Sex differences in 10-year ischemic cardiovascular disease risk prediction in Chinese patients with prediabetes and type 2 diabetes,12/27/20,"Yang, L.","Aged
China/epidemiology
Comorbidity
Databases, Factual
Diabetes Mellitus, Type 2/diagnosis/*epidemiology/therapy
Electronic Health Records
Female
*Health Status Disparities
Humans
Male
Middle Aged
Myocardial Ischemia/diagnosis/*epidemiology/prevention & control
Prediabetic State/diagnosis/*epidemiology/therapy
Prevalence
Prognosis
Retrospective Studies
Risk Assessment
Risk Factors
Sex Factors
Time Factors
*Cardiovascular disease
*Case control studies
*Duration of diabetes
*Prediabetes
*Risk assessment",to examine sex differences in cardiovascular risk factors and 10-year ischemic cardiovascular disease (ICVD) risk in Chinese patients with prediabetes (PreDM) and type 2 diabetes mellitus (T2DM).,Original,retrospective case–control study,four hospital EHRs,"SPSS, Epidata",China,Patient characteristics,10-year ICVD risk,,Association,patient,No,No,No,,Yes,,,
13,4,,3304,31332959,2019,Clinical outcomes of external beam radiotherapy in patients with localized prostate cancer: Does dose escalation matter?,12/27/20,"Lee, C. C.","Aged
Follow-Up Studies
Humans
Male
Middle Aged
Prostatic Neoplasms/mortality/*radiotherapy
Radiation Injuries/epidemiology
Radiotherapy/adverse effects/*methods/mortality
Radiotherapy Dosage
Retrospective Studies
dose escalation
external beam radiation therapy
proctitis
prostate cancer","To report outcomes of localized prostate cancer treated with radical external beam radiation therapy (EBRT) in our institution over a 14-year period, and to determine the impact of dose escalation of prostate cancer outcomes.",Original,retrospective cohort study,institutional EHRs,Stata,Singapore,llocalized prostate cancer patients with different radiotherapy ,clinical outcomes,,Association,Patient,No,No,No,,Yes,,,
14,,,5457,31298717,2019,Development and Validation of a Deep Learning Algorithm for Mortality Prediction in Selecting Patients With Dementia for Earlier Palliative Care Interventions,12/27/20,"Wang, L.","Aged
Aged, 80 and over
*Deep Learning
Dementia/mortality/*therapy
Female
Humans
Male
Middle Aged
*Palliative Care
*Patient Selection
Registries
Retrospective Studies
Risk Assessment
*Terminal Care",Todevelopadeeplearningalgorithmusinglongitudinalelectronichealthrecordsto predict mortality risk as a proxy indicator for identifying patients with dementia who may benefit from palliative care.,Original,retrospective cohort study, Partners HealthCare System registry,R,USA,Patient characteristics,dementia,,,,STROBE,,,,,Predictive models,Prediction paper,
15,5,,1717,31210654,2019,Preoperative Pulmonary Function Test Results Are Not Associated With Postoperative Intubation in Children Undergoing Posterior Spinal Fusion for Scoliosis: A Retrospective Observational Study,12/27/20,"Burjek, N. E.","ng/*physiopathology
Male
Maximal Respiratory Pressures
Postoperative Complications/physiopathology/therapy
Predictive Value of Tests
*Respiratory Function Tests
Retrospective Studies
Risk Assessment
Risk Factors
Scoliosis/diagnostic imaging/physiopathology/*surgery
Spinal Fusion/*adverse effects
Treatment Outcome
Vital Capacity", to determine whether preoperative pulmonary function test results are associated with the need for postoperative intubation or intensive care unit admission after posterior spinal fusion.,Original,retrospective chart review,institution database,Excel,USA,vital capacity and maximum inspiratory pressure ,postoperative intubation and intensive care unit admission,,Association,Patient,No,No,No,,Yes,,,
16,,,4782,31764745,2019,A Framework for Improving Characterization of Obstetric Hemorrhage Using Informatics Data,12/27/20,"Goffman, D.","Adult
Cross-Sectional Studies
Databases, Factual
*Delivery, Obstetric
Female
Humans
New York/epidemiology
Postpartum Hemorrhage/diagnosis/*epidemiology/etiology/prevention & control
Pregnancy
*Prenatal Diagnosis
*Quality Assurance, Health Care
Retrospective Studies
Risk Assessment",To characterize postpartum hemorrhage trends and outcomes using bioinformatics and electronic health record data,Original,retrospective cross-sectional study ,,"R, SQL",USA,Patient characteristics,Risk of Postpartum Hemorrhage and Interventions by Time,,Association,Patient,No,Yes,"Yes, Imputation",,No,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",Characterization paper,
17,6,,3648,31262381,2019,Factors related to omalizumab resistance in chronic spontaneous urticaria,12/27/20,"Magen, E.","Adult
Anti-Allergic Agents/*therapeutic use
Biomarkers, Pharmacological/*metabolism
C-Reactive Protein/metabolism
Chronic Urticaria/*drug therapy/epidemiology
Complement C3/metabolism
Drug Resistance
Female
Humans
Hypertension
Israel/epidemiology
Male
Middle Aged
Obesity/*epidemiology
Omalizumab/*therapeutic use
Retrospective Studies
Risk
Treatment Failure",To identify clinical and laboratory attributes of patients that may be predictive of OmR in CSU.,Original,retrospective database study,leumit health care services EHR,SPSS,Israel,clinical and lab factors ,CSU results,,Association,Patient,No,No,No,,Yes,,cannot find full text,
18,7,,1449,30357329,2019,Risk analysis of antimicrobial resistance in outpatient urinary tract infections of young healthy adults,12/27/20,"Brosh-Nissimov, T.","Anti-Bacterial Agents/pharmacology/*therapeutic use
Community-Acquired Infections/*drug therapy
Cross-Sectional Studies
*Drug Resistance, Multiple, Bacterial
Electronic Health Records
Enterobacteriaceae/drug effects
Enterobacteriaceae Infections/*drug therapy
Female
Healthy Volunteers
Humans
Israel
Logistic Models
Male
Microbial Sensitivity Tests
Military Personnel
Outpatients
Retrospective Studies
Risk Factors
Urinary Tract Infections/*drug therapy/microbiology
Young Adult","to dissect the intricate interrelation be- tween exposures and subsequent antimicrobial resistance (AMR) patterns in a unique setting of young healthy adults, allowing further guidance in this group.",Original,retrospective cross-sectional study ,IDF electronic medical records.,SPSS,Israel,Patient,risk of antimicrobial resistance in outpatient urinary tract infections ,,Association,Patient,No,"Yes, limitation",No,,Yes,,,
19,,,2149,30238539,2019,Nursing networks in the NICU and their association with maternal stress: A pilot study,12/27/20,"Gonya, J.","Adult
Electronic Health Records/statistics & numerical data
Female
Humans
Infant
Infant, Extremely Premature/psychology
Infant, Newborn
Intensive Care Units, Neonatal/organization & administration
Male
Mothers/*psychology
Pilot Projects
Prospective Studies
Quality of Health Care/standards
Shift Work Schedule/adverse effects/psychology
*Social Networking
Stress, Psychological/*complications/psychology
Surveys and Questionnaires
extremely premature infants
neonatal intensive care unit (NICU)
network science
nurse caregiving
nurse staffing
nursing structure",,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
20,8,,3576,30782738,2019,Protocol for a prospective observational study to develop a frailty index for use in perioperative and critical care,12/27/20,"Darvall, J. N.","Aged
Aged, 80 and over
Australia/epidemiology
*Critical Care
Female
Frailty/*diagnosis/epidemiology
Hospital Mortality
Humans
Male
Middle Aged
Patient Discharge
*Perioperative Care
Postoperative Complications/epidemiology
Prospective Studies
Risk Assessment
*frailty
*risk assessment", to compare the performance of the frailty index against existing frailty measurement and risk stratification tools; and to assess its modification by patients’ health assets.,Original,Prospective cohort study,Routinely collected ICU data ,Didn't mention,Australia,Patient,frailty index,,Association,Patient,No,"Yes, data cleaning","Yes, Imputation",,Yes,,,
21,9,,4966,31050078,2019,Impact of antibiotic treatment duration on outcomes in older men with suspected urinary tract infection: Retrospective cohort study,12/27/20,"Ahmed, H.","Acute Kidney Injury/*epidemiology/etiology/therapy
Age Factors
Aged
Aged, 80 and over
Anti-Bacterial Agents/economics/standards/*therapeutic use
Cost Savings
Drug Costs
Drug Prescriptions/statistics & numerical data
*Duration of Therapy
Follow-Up Studies
Hospitalization/statistics & numerical data
Humans
Male
Medication Adherence/statistics & numerical data
Practice Guidelines as Topic
Propensity Score
Retrospective Studies
Sepsis/*epidemiology/etiology/therapy
Treatment Failure
United Kingdom/epidemiology
Urinary Tract Infections/complications/*drug therapy/mortality
*aged
*electronic health records
*men
*pharmacoepidemiology
*primary care
*urinary tract infection", to determine if treatment duration could be reduced by estimating risk of adverse outcomes according to different prescription durations.,Original,retrospective cohort study,Clinical Practice Research Datalink (CPRD),R,UK,antibiotic prescription, impact of antibiotic prescription duration,,Asosciation,Patient,No,"Yes, data description",No,,Yes,,,
22,10,,4012,30576649,2019,Long-term outcomes of endoscopic resection and metachronous cancer after endoscopic resection for adenocarcinoma of the esophagogastric junction in Japan,12/27/20,"Abe, S.","Adenocarcinoma/epidemiology/mortality/pathology/*surgery
Adult
Aged
Aged, 80 and over
Barrett Esophagus/epidemiology
Endoscopic Mucosal Resection/*methods
Endoscopy, Digestive System
Esophageal Neoplasms/epidemiology/mortality/pathology/*surgery
Esophagogastric Junction/*surgery
Humans
Japan
Lymph Nodes/pathology
Middle Aged
Neoplasm Recurrence, Local/epidemiology
Neoplasms, Second Primary/epidemiology
Retrospective Studies
Tumor Burden",to determine the effect of ER on survival and occurrence of metachronous cancer of patients with superficial AEGJ.,Original,retrospective cohort study,institution database,EZR ,Japan,Patient characteristics,ER long term outcomes,,Association,Patient,No,"Yes, data cleaning","Yes, excluded",,Yes,,,
23,11,,3080,30476614,2019,Trends and Outcomes of Pediatric Vascular Injuries in the United States: An Analysis of the National Trauma Data Bank,12/27/20,"Eslami, M. H.","Adolescent
Age Distribution
Cause of Death
Child
Child, Preschool
Databases, Factual
Female
Hospital Mortality/*trends
Humans
Infant
Infant, Newborn
Injury Severity Score
Length of Stay/*trends
Male
Retrospective Studies
Risk Factors
Time Factors
Treatment Outcome
United States/epidemiology
Vascular System Injuries/diagnosis/*epidemiology/mortality/*therapy", to examine epidemiology and outcomes after pediatric vascular injuries (PedVIs) in the US.,Original,retrospective cohort study,National Trauma Data Bank,SAS,USA,patient with iatrogenic vascular injuries,,,Association,Patient,No,"Yes, data cleaning","Yes, excluded",,Yes,,,
24,,,4490,31566322,2019,EUS-guided tissue samples for the diagnosis of patients with a thickened gastric wall and prior negative endoscopic biopsies,12/28/20,"T√©llez-√Åvila, F. I.","Endoscopic Ultrasound-Guided Fine Needle Aspiration/*methods
Endoscopy
Gastrointestinal Neoplasms/*diagnostic imaging/pathology
Humans
Retrospective Studies
Fna
Wall thickening
biopsy
endoscopic ultrasound",to Evaluate the diagnostic yield of biopsies obtained by EUS guidance in patients with gastric wall thickening and prior negative endoscopic biopsies.,Original,,,,,,,,,,,,,,,EMR data only used to identify the cohort,,
25,,,5514,31316699,2019,Skill Proficiency is Predicted by Intubation Frequency of Emergency Medicine Attending Physicians,12/28/20,"Gillett, B.","*Clinical Competence
Cross-Sectional Studies
*Emergency Medicine
Humans
Intubation, Intratracheal/*statistics & numerical data
Laryngoscopy
*Medical Staff, Hospital",,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
26,,,4549,29606602,2019,Adductor muscle thickness of the thumb: A new and reliable parameter for nutritional assessment of pediatric inpatients,12/28/20,"Vallandro, J. P.","Child
Child Nutrition Disorders/diagnosis
Child, Preschool
Cross-Sectional Studies
Female
*Hospitalization
Humans
Male
Muscle, Skeletal/*physiology
*Nutrition Assessment
Nutritional Status/*physiology
ROC Curve
Thumb/*physiology
*Children
*Hospitalized
*Malnutrition
*Muscles
*Nutritional assessment
*Thumb","to evaluate the associ- ation of APMT with anthropometric variables, body mass index (BMI), pediatric Subjective Global Assessment (SGA) of nutrition, nutritional screening, and clinical outcomes in hospitalized pediatric patients.",Original,retrospective cross-sectional study ,,,,,,,,,,,,,,Questionnaire/survey only,,
27,12,,2463,31353082,2019,Volume-outcome relationship in severe operative trauma surgery: A retrospective cohort study using a Japanese nationwide administrative database,12/31/20,"Endo, H.","Adolescent
Adult
Aged
Aged, 80 and over
Databases, Factual/statistics & numerical data
Female
*Hospital Mortality
Hospitals, High-Volume/*statistics & numerical data
Humans
Japan/epidemiology
Male
Middle Aged
Retrospective Studies
Surgical Procedures, Operative/*statistics & numerical data
Trauma Severity Indices
Treatment Outcome
Workload/*statistics & numerical data
Wounds and Injuries/diagnosis/mortality/*surgery
Young Adult",to identify the volumeeoutcome relationship in severe operative trauma surgery.,Original,retrospective cohort study,Japan Hospital EHR,R,Japan,hospital volume,in-hospital mortality,,Association,hospital,No,"Yes, no missing",No,,Yes,,,
28,,,3507,30448830,2019,"Risk Factors for Delayed Hemorrhage after Colonic Endoscopic Mucosal Resection in Patients Not on Antithrombotic Therapy: Retrospective Analysis of 3,844 Polyps of 1,660 Patients",12/31/20,"Tsuruta, S.","Adolescent
Adult
Age Factors
Aged
Aged, 80 and over
Child
Child, Preschool
Colon/pathology/surgery
Colonic Polyps/pathology/*surgery
Emergency Treatment/statistics & numerical data
Endoscopic Mucosal Resection/*adverse effects
Female
Gastrointestinal Hemorrhage/*epidemiology/etiology/therapy
Hemostasis, Endoscopic/statistics & numerical data
Humans
Middle Aged
Postoperative Hemorrhage/*epidemiology/etiology/therapy
Retrospective Studies
Risk Factors
Time Factors
Young Adult
Bleeding
Colon tumor
Complication
Hemostasis
Polyp size",to evaluate the risk of delayed hemorrhage in pa- tients undergoing EMR without antithrombotic therapy,Original,Retrospective chart review,Japan,,,,,,,,,,,,,EMR data only used to identify the cohort,didn't say data extraction process,
29,,,1076,31753277,2019,Part I: A Quantitative Study of Social Risk Screening Acceptability in Patients and Caregivers,12/31/20,"De Marchis, E. H.","Adult
*Caregivers/psychology/statistics & numerical data
Child
Cross-Sectional Studies
Delivery of Health Care
*Electronic Health Records
Emergency Service, Hospital
Female
Humans
Male
*Mass Screening
Medicaid
Medicare
Middle Aged
Patients/*psychology
Primary Health Care
Social Determinants of Health/*statistics & numerical data
Surveys and Questionnaires
United States",to evaluates patient and caregiver acceptability of social risk screening.,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
30,,,2160,31232857,2019,Telemedicine for Interfacility Nurse Handoffs,12/31/20,"Lieng, M. K.","Age Factors
Child
Child, Preschool
Communication
Cross-Sectional Studies
Electronic Health Records/statistics & numerical data
Emergency Service, Hospital/*organization & administration/statistics & numerical
data
Female
Hospitals, Pediatric/organization & administration
Humans
Infant
Intensive Care Units, Pediatric/*organization & administration/statistics &
numerical data
Male
Nursing Staff, Hospital/*organization & administration/statistics & numerical data
Patient Handoff/*organization & administration/statistics & numerical data
Severity of Illness Index
Sex Factors
Socioeconomic Factors
Telemedicine/*organization & administration/statistics & numerical data",To compare nurse preparedness and quality of patient handoff during interfacility transfers from a pre-transfer emergency department to a Pediatric Intensive Care Unit (PICU) when conducted over telemedicine versus telephone.,,,,,,,,,,,,,,,,"Physician behavior, system evaluation, health services research [I.e., not biomedical]",,
31,,,5132,30465753,2019,Barriers and outcomes associated with unfulfilled requests for permanent contraception following vaginal delivery,12/31/20,"Flink-Bochacki, R.","Adult
Delivery, Obstetric
Female
*Health Services Accessibility
Humans
Obesity
*Postpartum Period
Retrospective Studies
Sterilization, Tubal/*statistics & numerical data
Young Adult
*Barriers to care
*Contraception
*Permanent contraception
*Postpartum sterilization",,,,,,,,,,,,,,,,,Questionnaire/survey only,,
32,,,3000,31726969,2019,Assessing causal treatment effect estimation when using large observational datasets,12/31/20,"John, E. R.","Bias
Cohort Studies
Computer Simulation
*Confounding Factors, Epidemiologic
Humans
Least-Squares Analysis
Linear Models
*Observational Studies as Topic
Propensity Score
Pulmonary Disease, Chronic Obstructive/*therapy
*Sample Size
Treatment Outcome
*Causal effect
*Instrumental variable
*Observational data
*Propensity scores
*Unmeasured confounding
Amaris, Allergan, Astellas, AstraZeneca, Boehringer Ingelheim, Bristol-Meyers
Squibb, Creativ-Ceutical, GSK, ICON (Oxford Outcomes), Ipsen, Janssen, Lilly, Merck,
NICE, Novartis, NovoNordisk, Pfizer, PRMA, Roche and Takeda, and has received
research funding from ABPI, EFPIA, Pfizer and Sanofi. He is a Partner and Director
of Visible Analytics Limited, a healthcare consultancy company."," to estimating treatment effects from observational data in order to highlight the importance of considering, and justifying, the relevant assumptions prior to conducting an observational analysis.",Original,,,,,,,,,,,,,,,Methodology papers (,,
33,,,4487,30897047,2019,Food Insecurity Associated with Self-Reported Falls Among Medicare Advantage Members,1/4/21,"Mosen, D. M.","Accidental Falls/*statistics & numerical data
Aged
Aged, 80 and over
Female
Food Supply/*statistics & numerical data
Humans
Male
*Medicare Part C
Patient Acceptance of Health Care/statistics & numerical data
Retrospective Studies
United States
*Medicare
*falls
*food insecurity",,,,,,,,,,,,,,,,,Questionnaire/survey only,,
34,13,,4424,31048085,2019,Reduction in Nephrotoxic Antimicrobial Exposure Decreases Associated Acute Kidney Injury in Pediatric Hematopoietic Stem Cell Transplant Patients,1/4/21,"Benoit, S. W.","*Acute Kidney Injury/blood/chemically induced/prevention & control
Adolescent
Allografts
*Anti-Infective Agents/administration & dosage/adverse effects
Child
Female
*Hematopoietic Stem Cell Transplantation
Humans
Male
Prospective Studies
*Acute kidney injury
*Nephrotoxin
*Pediatric
*Quality improvement",reducing nephrotoxic antimicrobial exposure for SCT patients would be associated with lower nephrotoxin-associated AKI (NTMx-AKI) rates and no increase in infection treatment failures,Original,Prospective cohort study,VigiLanz clinical surveillance platform,GraphPad Prism,USA, reducing nephrotoxic antimicrobial exposure,lower nephrotoxin-associated AKI (NTMx-AKI) rates ,,Association,Patient,No,No,No,,Yes,,,
35,14,,5269,31506197,2019,Detecting Atrial Fibrillation in the Emergency Department in Patients with Cardiac Implantable Electronic Devices,1/4/21,"Pugh, M.","Aged
Aged, 80 and over
Atrial Fibrillation/*diagnosis/epidemiology
California/epidemiology
Defibrillators, Implantable/*adverse effects/statistics & numerical data
Emergency Service, Hospital/organization & administration/statistics & numerical
data
Female
Humans
Male
Middle Aged
Retrospective Studies
Risk Factors
Cied
atrial fibrillation
interrogation
stroke",to quantify AF prevalence and assess stroke risk in patients with a CIED who presented to the emergency department (ED).,Original,retrospective cohort study,Hospital EHR,SAS,USA,The use of technology-assisted device interrogation of CIEDs at the point of care ,patients with asymp- tomatic AF.,,Association,Patient,No,No,No,,Yes,,,
36,15,,914,30555003,2019,Using the emergency department to investigate smoking in young adults,1/4/21,"Kantrow, S. P.","Adolescent
Adult
African Continental Ancestry Group/*statistics & numerical data
Age Distribution
Electronic Health Records/*statistics & numerical data
Emergency Service, Hospital/*statistics & numerical data
European Continental Ancestry Group/*statistics & numerical data
Female
Hispanic Americans/*statistics & numerical data
Humans
Male
New Orleans/epidemiology
Prevalence
Retrospective Studies
Sex Distribution
*Tobacco Products
Tobacco Smoking/adverse effects/*epidemiology/ethnology
Tobacco Use/*epidemiology
Urban Population
Young Adult
*Electronic health records
*Emergency Service
*Hospital
*Smoking
*Tobacco
*Young adult",to investigate smoking in a young adult population and within high-risk groups using emergency department (ED) data in a metropolitan area.,Original,retrospective cohort study,EPIC,SAS,USA,patient characteristics,smoking status,,Association,Patient,No,No,No,,Yes,,,
